,Games,Over/Under,3-way
300,"Vihiga Bullets
Kakamega Homeboyz",2.5 1.85 1.86,6.50 4.50 1.36
301,"Mathare United
Kariobangi Sharks",2.5 2.28 1.56,3.25 2.85 2.20
302,"Bandari
FC Talanta",2.5 2.05 1.68,1.66 3.40 4.50
303,"Hrvatski Dragovoljac
Šibenik",3.5 1.62 2.18,7.50 3.35 1.52
304,"HNK Gorica
Dinamo Zagreb",2.5 1.76 2.00,4.60 3.85 1.57
305,"RFS
Riga FC",3.5 2.30 1.55,1.75 3.85 3.75
306,"Žalgiris Vilnius
Hegelmann Litauen Kaunas",2.5 1.60 2.23,1.38 4.35 6.25
307,"FK Kauno Zalgiris
Dainava Alytus",2.5 1.85 1.85,1.38 4.10 7.00
308,"FK Panevezys
Džiugas Telšiai",2.5 1.63 2.16,1.52 4.00 5.00
309,"FC Progrès Niederkorn
FC Swift Hesperange",2.5 1.76 1.96,2.80 3.30 2.20
310,"Valletta FC
St. Lucia FC",2.5 1.86 1.85,1.98 3.15 3.15
311,"Hamrun Spartans
Sirens FC",2.5 1.57 2.28,1.43 4.00 5.20
312,"FUS Rabat
OCK Khouribga",1.5 1.48 2.48,1.74 3.10 4.40
313,"Difaâ Hassani El Jadida
Raja Casablanca",2.5 2.08 1.68,3.25 2.95 2.08
